,COMMAND_Sym_Link,url,CMD_MD5SUM,CMD_SHA256SUM,ORIGINAL_FILE_NAME,FILE_NAME,SAMPLE_FLUID_TYPE,BATCH,FULL_REDCAP_ID,,PRIVATE_ID,visit_number,visit_interval,Type,MODE,body_site,fma_body_site,format,visit_id,SAMPLE_PARENT_ID,SAMPLE_PARENT_OSDF_ID,sample_name_id,rand_subject_id,CONSENTED?,interval,sub-study,tags,storage_duration,comment,title,center,sequencing_contact,experiment_type,study,prep_id,md5,size,sha256
5,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B1_ZN0JE53_02_HILIC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_neg.mzXML,Plasma_B1_1636-69-027_V2_HILIC_neg.mzXML,Plasma_B1_ZN0JE53_02_HILIC_neg.mzXML,Plasma,B1,1636-69-027,2,69-027-02,2,85,HILIC,neg,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2b6f96,Plasma_B1_ZN0JE53_02_HILIC_neg,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,6ad735dc6aac9e1a3b585c58bd480747,38369582,0ae253b3c9198ff12476528522698cbf80259ac786455d50f9ce6d1c06c9c378
249,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B2_ZN0JE53_02_HILIC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_neg.mzXML,Plasma_B2_1636-69-027_V2_HILIC_neg.mzXML,Plasma_B2_ZN0JE53_02_HILIC_neg.mzXML,Plasma,B2,1636-69-027,2,69-027-02,2,85,HILIC,neg,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2b7da3,Plasma_B2_ZN0JE53_02_HILIC_neg,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,3a268eab0a0c63db14caae95841a63e4,42653185,c152348b7eb9d14181e15e525fd71c678e37e43d4dd62312f526592dc83302e5
381,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Urine_B1_ZN0JE53_02_HILIC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_neg.mzXML,Urine_B1_1636-69-027_V2_HILIC_neg.mzXML,Urine_B1_ZN0JE53_02_HILIC_neg.mzXML,Urine,B1,1636-69-027,2,69-027-02,2,85,HILIC,neg,urinary_tract,FMA:326482,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_urine,aed6c7330536c3e0dfc966c85c281b44,Urine_B1_ZN0JE53_02_HILIC_neg,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,ad14ffc32bca95ffa361333af5da4d32,39236811,a41cc966962d05065ad57fdb33e0a11bc9617179c3d63cfd3311d1f828bb681b
6,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B1_ZN0JE53_02_HILIC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_HILIC_pos.mzXML,Plasma_B1_1636-69-027_V2_HILIC_pos.mzXML,Plasma_B1_ZN0JE53_02_HILIC_pos.mzXML,Plasma,B1,1636-69-027,2,69-027-02,2,85,HILIC,pos,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2b8ce9,Plasma_B1_ZN0JE53_02_HILIC_pos,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,48dd9a2bd48825c6369ad0fa1cb11038,55800863,f71b649947c94842a0cae7cb84f9422b5eb5c1815e55cab59b4d545befa5df2b
250,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B2_ZN0JE53_02_HILIC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_HILIC_pos.mzXML,Plasma_B2_1636-69-027_V2_HILIC_pos.mzXML,Plasma_B2_ZN0JE53_02_HILIC_pos.mzXML,Plasma,B2,1636-69-027,2,69-027-02,2,85,HILIC,pos,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2b8daf,Plasma_B2_ZN0JE53_02_HILIC_pos,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,aabb3b06bd57d33d4c0d5826666c77e4,52710656,363803f930bebfa11cd86ddb48bb5fbb0995a782f5f54de6753883a303270939
382,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Urine_B1_ZN0JE53_02_HILIC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_HILIC_pos.mzXML,Urine_B1_1636-69-027_V2_HILIC_pos.mzXML,Urine_B1_ZN0JE53_02_HILIC_pos.mzXML,Urine,B1,1636-69-027,2,69-027-02,2,85,HILIC,pos,urinary_tract,FMA:326482,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_urine,aed6c7330536c3e0dfc966c85c282363,Urine_B1_ZN0JE53_02_HILIC_pos,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,3fc9dbe66549dd37d6cfa0bdcd0a846a,55258033,f8717a696d8b865219ed5d7052704ec11adb62214a524e36112443daaf032cdf
7,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B1_ZN0JE53_02_RPLC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_neg.mzXML,Plasma_B1_1636-69-027_V2_RPLC_neg.mzXML,Plasma_B1_ZN0JE53_02_RPLC_neg.mzXML,Plasma,B1,1636-69-027,2,69-027-02,2,85,RPLC,neg,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2b9f03,Plasma_B1_ZN0JE53_02_RPLC_neg,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,79d9c14518789c8d34d255fe70721cbe,45507919,32c3ac9cb4c795b69f0dce2507d1235a40a6eea4d1fbc59f0123162dd179a44a
251,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B2_ZN0JE53_02_RPLC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_neg.mzXML,Plasma_B2_1636-69-027_V2_RPLC_neg.mzXML,Plasma_B2_ZN0JE53_02_RPLC_neg.mzXML,Plasma,B2,1636-69-027,2,69-027-02,2,85,RPLC,neg,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2baef2,Plasma_B2_ZN0JE53_02_RPLC_neg,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,e908c19368a1b9f2705f0308bc6538de,49016046,59c15f51c4906ca311f2e57393f0f3f1b08c6393d52f44b20e421ddc83e0bcdd
383,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Urine_B1_ZN0JE53_02_RPLC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_neg.mzXML,Urine_B1_1636-69-027_V2_RPLC_neg.mzXML,Urine_B1_ZN0JE53_02_RPLC_neg.mzXML,Urine,B1,1636-69-027,2,69-027-02,2,85,RPLC,neg,urinary_tract,FMA:326482,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_urine,aed6c7330536c3e0dfc966c85c282f3a,Urine_B1_ZN0JE53_02_RPLC_neg,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,9ac16ec93dce165ac371d8aaeddcc26d,51565822,d27391ef4866c96a94faa75ccfc2a445669124dd0a87e9061a809e273513f934
8,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B1_ZN0JE53_02_RPLC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V2_RPLC_pos.mzXML,Plasma_B1_1636-69-027_V2_RPLC_pos.mzXML,Plasma_B1_ZN0JE53_02_RPLC_pos.mzXML,Plasma,B1,1636-69-027,2,69-027-02,2,85,RPLC,pos,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2bbe9b,Plasma_B1_ZN0JE53_02_RPLC_pos,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,46b9fb32ad12a638731330cc6fbfb230,55169798,836ee1f406fb398a81a31dad204953943192f4682670f13eb67bca3d1730431d
